"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","0","0","Удаление пула ресурсов по ID","0"
"0","","0","Получение настроек тарифа","1","0","","0"
"0","","0","Отчёты по организациям","1","0","","0"
"0","","1","","7","0","","0"
"0","","4","Фильтрация связей тарифов с организациями","1","0","","0"
"0","","1","Обновление настроек арендатора","0","0","","0"
"0","","0","","1","0","Получение информации о сервисе ресурсов по ID","0"
"0","","1","","0","0","Удаление единицы измерения по ID (DELETE)","0"
"0","","0","Получение ролей по ID","6","0","Отправка GET-запросов для ID от 1 до 6","0"
"0","","0","Получение данных пользователя","1","0","","0"
"0","","0","Получение настроек арендатора по связи с организацией","1","0","","0"
"0","","0","","1","0","Получение информации об организации","0"
"0","","0","","1","0","Получение атомарного ресурса по ID","0"
"0","","0","","1","0","Получение списка всех категорий ресурсов","0"
"0","","1","Обновление связи тарифа с организацией","0","0","","0"
"0","","0","","1","0","Создание категории ресурса (resource_category_ref)","0"
"0","","0","Фильтрация тарифов","1","0","","0"
"0","","1","Получение типов настроек тарифов","0","0","","0"
"0","","1","","0","0","Удаление связи между пулом ресурсов и атомом","0"
"0","","0","Получение временных интервалов тарифов","1","0","","0"
"0","","1","Удаление связи тарифа с арендатором","0","0","","0"
"0","","0","Получение списка ролей","1","0","","0"
"0","","1","Удаление настроек арендатора","0","0","","0"
"0","","1","","0","0","Обновление единицы измерения по ID (PUT)","0"
"0","","1","Получение связи тарифа с организацией","0","0","","0"
"0","","1","Организации","2","0","","0"
"0","","0","","1","0","Получение типов категорий ресурсов","0"
"0","","0","","1","0","Обновление категории ресурса (resource_category_ref)","0"
"0","","1","","0","0","Обновление информации о пуле ресурсов","0"
"0","","1","","0","0","Получение единицы измерения по ID","0"
"0","","0","","1","0","Удаление категории ресурса (resource_category_ref)","0"
"0","","1","Создание тарифа","0","0","","0"
"0","","0","Получение данных пользователей","1","0","","0"
"0","","0","","1","0","Получение информации о категории ресурса по ID","0"
"0","","0","","1","0","Получение информации о местоположении ресурса по ID","0"
"0","","1","","0","0","Создание связи между пулом ресурсов и атомом","0"
"0","","0","","1","0","Удаление атомарного ресурса по ID (DELETE)","0"
"0","","0","","1","0","Получение списка всех местоположений ресурсов","0"
"0","","1","","0","0","Получение информации о пуле ресурсов по ID","0"
"0","","1","","0","0","Получение информации о связи пула ресурсов и атома по ID","0"
"0","","1","Удаление связи тарифа с организацией","0","0","","0"
"0","","0","","1","0","Получение организаций по tenant_id","0"
"0","","1","","0","0","Получение списка единиц измерения ресурсов","0"
"0","","1","","0","0","Обновление связи между пулом ресурсов и атомом","0"
"1","","0","Фильтрация связей тарифов с арендаторами","0","0","","0"
"0","","0","","1","0","Обновление сервиса ресурсов по ID (PUT)","0"
"0","","0","","1","0","Обновление атомарного ресурса по ID (PUT)","0"
"0","","1","Удаление тарифа","0","0","","0"
"0","","0","","1","0","Получение списка атомов ресурсов с фильтрацией","0"
"0","","0","","1","0","Создание атомарного ресурса (resource_atom)","0"
"0","","1","Получение связи тарифа с арендатором","0","0","","0"
"0","","0","","1","0","Обновление информации о местоположении ресурса","0"
"0","","0","","1","0","Получение списка пулов ресурсов с фильтрацией","0"
"0","","1","Получение настроек арендатора по ID","0","0","","0"
"0","","1","Создание связи тарифа с арендатором","0","0","","0"
"0","","0","","1","0","Получение справочника типов ресурсов (resource_types_ref)","0"
"0","","1","Создание связи тарифа с организацией","0","0","","0"
"0","","0","","1","0","Удаление сервиса ресурсов по ID (DELETE)","0"
"1","","0","","0","0","Создание нового пула ресурсов","0"
"0","","0","Управление связями пользователь-организация","0","1","Получение связей пользователь-организация","0"
"0","","0","","1","0","Получение списка всех сервисов ресурсов (resource_services)","0"
"1","","0","Получение тарифа","0","0","","0"
"0","","0","","1","0","Получение типов услуг","0"
"0","","1","Создание настроек арендатора","0","0","","0"
"0","","1","","0","0","Создание единицы измерения ресурса","0"
"0","","0","","1","0","Создание нового сервиса ресурсов (resource_service)","0"
"0","","0","","1","0","Удаление местоположения ресурса по ID","0"
"0","","1","Создание связи пользователя с организацией","0","0","","0"
"0","","1","Обновление тарифа","0","0","","0"
"0","","0","","1","0","Создание нового местоположения ресурса","0"
